country,birth_rates,per_capita_income,proportion_of_farming,infant_mortality
Venezuela,46.4,392,0.4,68.5
Mexico,45.7,110,0.61,87.8
Ecuador,45.3,44,0.53,115.8
Colombia,38.6,158,0.53,106.8
Ceylon,37.2,81,0.53,71.6
